orf	gene_length	folds	fold_length	coverage	log_coverage	dN	log_dN	dSadj	log_dSadj	sacCer_sacPar_dS	log_sacCer_sacPar_dS	sacCer_sacPar_dN	log_sacCer_sacPar_dN	phastCons_coverage	FPS	cai	dNdSadj	small_dNdS	small_dSadj	dS	small_dNdSadj	dNdS	len	abund	expr	disp	essential
YDL093W	2232	chr4_290998_291035,	37,	1.65770609318996	0.219507533801454	NA	NA	NA	NA	0.3205	-0.494171966145164	0	NA	0.656347229791726	0.778359667421638	0.155	NA	0	0.38033	NA	0	NA	2232	NA	1	1.014	FALSE
YIL115C	4383	chr9_145858_145870,	12,	0.27378507871321	-0.562590224606334	0.465400894	-0.332172786801558	2.5997	0.414923234177824	0.4621	-0.335264031481295	0.1146	-0.940815382368629	0.644676487299234	0.0899475565303055	0.1428	0.179021000115398	0.247998268772993	0.5172208	2.024	0.221568815484605	0.229941153162055	4383	1230	0.9	0	TRUE
YNL264C	1053	chr14_146197_146215,	18,	1.70940170940171	0.23284413391782	0.07120016	-1.14751903042158	2.02425	0.306264147948217	0.3382	-0.470826396738277	0.0288	-1.54060751224077	0.660181368507832	0.124927383187765	0.1954	0.035173600098802	0.0851567120047309	0.4136244	1.3733	0.0696283874935811	0.0518460350979393	1053	5040	0.7	1.011	FALSE
YCR084C	2142	chr3_261264_261277,	13,	0.606909430438842	-0.216876114189	0.047600073	-1.32239238124016	1.79587	0.254274895624126	0.2681	-0.57170318601712	0.0121	-1.91721462968355	0.636099607379121	0.0558185886812862	0.1809	0.0265052999381915	0.0451324132786274	0.3379274	1.1429	0.035806507551622	0.0416485020561729	2142	5840	2.1	0.921	FALSE
YNR028W	927	chr14_676883_676900,	17,	1.83387270765912	0.263369187233777	0.45010119	-0.346689838850567	2.2764	0.357248576936287	NA	NA	NA	NA	0.658514401661116	0.0236633918744595	0.1368	0.197725	NA	NA	1.7315	NA	0.259948709211666	927	NA	0.7	1.007	FALSE
YNL287W	2808	chr14_93460_93475,	15,	0.534188034188034	-0.272305844402086	0.042100025	-1.37571764626982	1.9017	0.279142006491638	0.3081	-0.511308301683059	0.0094	-2.0268721464003	0.660495706055006	0.119938975342384	0.2384	0.0221381001209444	0.0305095748133723	0.4001224	1.1144	0.0234928111997729	0.0377781990308686	2808	77900	2.2	0	TRUE
YPR156C	1869	chr16_839482_839503,	21,	1.12359550561798	0.0506099933550872	0.03040007	-1.51712541637221	2.09796	0.32179720361689	0.5514	-0.258533238230245	0.0069	-2.16115090926274	0.656095409839587	0.165888437394857	0.2608	0.0144903001010505	0.0125136017410228	0.6520688	1.294	0.010581705488746	0.0234930989180835	1869	2760	0.7	1.005	FALSE
YDR364C	1368	chr4_1203095_1203112,	17,	1.24269005847953	0.0943628239941765	0.179500041	-0.745935447887491	2.11938	0.32620883170245	0.429	-0.367542707815276	0.0455	-1.34198860334289	0.651110008155773	0.2801796757651	0.1364	0.084694599835801	0.106060606060606	0.4816504	1.5861	0.0944668581194991	0.113170696046908	1368	1630	0.8	NA	FALSE
YJR117W	1362	chr10_642844_642868,	24,	1.76211453744493	0.24603413413484	0.056400099	-1.24872013369191	2.03501	0.308566547681214	0.2762	-0.558776325757387	0.0156	-1.80687540164554	0.650144927536232	0.0660814537565613	0.2677	0.0277149001724807	0.056480811006517	0.3795322	1.2159	0.0411032318206466	0.0463854749568221	1362	19600	2	1.014	FALSE
YCL017C	1494	chr3_94042_94065,	23,	1.53949129852744	0.187377238538213	NA	NA	NA	NA	0.3557	-0.44891613481422	0.007	-2.15490195998574	0.644997520857137	0.071353595805414	0.2256	NA	0.0196795052010121	0.4427816	NA	0.0158091483476278	NA	1494	504	2	0	TRUE
YMR186W	2118	chr13_632373_632388,	15,	0.708215297450425	-0.149834696715785	0.023699909	-1.62525332153731	2.19269	0.340977235961175	0.299	-0.52432881167557	0.0039	-2.4089353929735	0.648694081777238	0.813165731540913	0.5811	0.0108085999388879	0.0130434782608696	0.5233046	0.7696	0.00745263848244407	0.0307951000519751	2118	132000	7.9	1.006	FALSE
YDL145C	3606	chr4_196958_196970,chr4_197983_198007,	12,24,	0.998336106489185	-0.000723221619095888	0.053100163	-1.27490414577556	2.01291	0.30382435741366	0.3448	-0.462432742847325	0.0119	-1.92445303860747	0.654890270853677	0.0829519897648064	0.2371	0.0263797998916991	0.0345127610208817	0.4363206	1.2246	0.0272735231845574	0.0433612306059121	3606	15200	2.8	0	TRUE
YOL062C	1476	chr15_211864_211879,	15,	1.01626016260163	0.00700490156865852	0.075200038	-1.1237819399511	1.90219	0.279253894215684	0.3721	-0.429340329978466	0.0093	-2.03151705144606	0.626395968021585	0.517704436246124	0.1356	0.0395333999232464	0.0249932813759742	0.4244416	1.3679	0.0219111416034621	0.0549748066379121	1476	3410	0.8	1.011	FALSE
YLR432W	1572	chr12_1002580_1002596,	16,	1.01781170483461	0.00766744095253569	0.048000184	-1.31875709783209	2.19771	0.341970384307225	1.0412	0.0175341594371981	0	NA	0.640532641763503	0.196797353976819	0.4642	0.0218409999499479	0	1.2203812	1.0458	0	0.0458980531650411	1572	26300	3.8	1.023	FALSE
YNL169C	1503	chr14_316403_316420,	17,	1.13107119095143	0.0534899407913657	0.06670016	-1.17587312429884	2.04079	0.309798317536534	0.3769	-0.423773862550395	0.0168	-1.77469071827414	0.660027707139333	0.0736863879130724	0.1382	0.0326835000171502	0.0445741576014858	0.4302452	1.4868	0.0390475012853136	0.0448615550174872	1503	1080	0.9	NA	FALSE
YOR109W	3324	chr15_527280_527296,chr15_525392_525406,	16,14,	0.902527075812274	-0.044539760392411	NA	NA	NA	NA	0.5742	-0.240936811839513	0.0122	-1.91364016932525	0.637761862335229	0.0912229593692984	0.1516	NA	0.021246952281435	0.6327176	NA	0.0192819039647388	NA	3324	1520	0.8	1.009	FALSE
YIL002C	2841	chr9_351805_351818,	13,	0.457585357268567	-0.339527881416099	0.045200073	-1.34486086378438	1.93342	0.286326206780254	0.3441	-0.46331532737907	0.0095	-2.02227639471115	0.655074646449088	0.0690747625918088	0.116	0.0233783001106847	0.027608253414705	0.388876	1.4365	0.0244293810880589	0.0314654180299339	2841	98.9	0.6	1.022	FALSE
YKR028W	3297	chr11_495708_495721,	13,	0.394297846527146	-0.404175594836316	NA	NA	NA	NA	0.3666	-0.435807539373802	0.0651	-1.18641901143181	0.635923165543954	0.000390558539363913	0.145	NA	0.177577741407529	0.42257	NA	0.154057315947654	NA	3297	NA	1	1.008	FALSE
YHR023W	5787	chr8_157259_157275,	16,	0.276481769483325	-0.558333499707622	NA	NA	NA	NA	0.5091	-0.293196902962662	0.0292	-1.53461714855158	0.633655336124757	0.221915694534423	0.1572	NA	0.0573561186407386	0.5697792	NA	0.0512479220020668	NA	5787	2140	0.6	0	TRUE
YCR035C	1185	chr3_192718_192745,	27,	2.27848101265823	0.357645413812865	0.125399902	-0.901702802906226	2.12327	0.327005223583945	0.4384	-0.358129454523687	0.0467	-1.33068311943389	0.64090520477104	0.0658361222499867	0.1474	0.0590598002138211	0.106523722627737	0.4952964	1.5405	0.0942869764448116	0.0814020785459267	1185	3180	2.5	0	TRUE
YKL173W	3027	chr11_125242_125272,	30,	0.991080277502478	-0.00389116623691051	0.20930045	-0.679229837918806	2.18109	0.338673586576835	0.0756	-1.12147820449879	0.0743	-1.12901118623942	0.631705246661661	0.105751636744111	0.1177	0.095961400033928	0.982804232804233	0.1210322	1.6574	0.613886222013646	0.126282400144805	3027	300	0.6	0	TRUE
YJR016C	1758	chr10_465837_465866,	29,	1.64960182025028	0.217379127161203	0.021600068	-1.66554488162785	1.90544	0.279995277915758	0.2899	-0.537751784645003	0.0038	-2.42021640338319	0.652665234636739	0.0541229585321822	0.3785	0.0113360000839701	0.0131079682649189	0.436001	0.8712	0.00871557634042124	0.0247934664830119	1758	171000	2.5	0	TRUE
YKL010C	4452	chr11_421238_421260,	22,	0.494159928122192	-0.306132474840464	NA	NA	NA	NA	0.3431	-0.464579281943827	0.0425	-1.37161106994969	0.637213223768584	0.0796891132787464	0.1388	NA	0.123870591664238	0.3966768	NA	0.10714012011794	NA	4452	7380	1.2	1.008	FALSE
YPR010C	3612	chr16_580394_580407,	13,	0.359911406423034	-0.443804389334631	NA	NA	NA	NA	0.3951	-0.403292970318554	0.0052	-2.2839966563652	0.657066231747054	0.0137561799180887	0.2228	NA	0.0131612250063275	0.4811008	NA	0.0108085457351141	NA	3612	14100	5.6	0	TRUE
YIL135C	1311	chr9_96184_96198,	14,	1.06788710907704	0.0285253439881537	0.156400422	-0.80576207946016	1.67626	0.22434138172132	0.2584	-0.587707490676953	0.0302	-1.51999305704285	0.651052459947614	0.0888806877405004	0.1268	0.0933031999809099	0.11687306501548	0.3073448	1.196	0.0982609759462337	0.13076958361204	1311	2180	0.8	1.008	FALSE
YJL112W	2145	chr10_205710_205740,	30,	1.3986013986014	0.145693958198919	NA	NA	NA	NA	0.3739	-0.42724453484578	0.0603	-1.21968268785985	0.648385365853659	0.016269645816611	0.1214	NA	0.161273067665151	0.4207604	NA	0.143311965669773	NA	2145	3730	0.7	1.019	FALSE
YMR169C	1521	chr13_599837_599880,	43,	2.82708744247206	0.451339241526588	NA	NA	NA	NA	0.6118	-0.21339052735134	0.0303	-1.51855737149769	0.650377326065448	0.0808247584085778	0.1776	NA	0.0495259888852566	0.6803536	NA	0.0445356649836203	NA	1521	172	0.1	0.998	FALSE
YCL048W	1392	chr3_42406_42419,	13,	0.933908045977011	-0.0296958829677065	0.130199984	-0.885389069137352	2.20019	0.342460186453378	0.301	-0.521433504406157	0.0383	-1.41680122603138	0.623556198562721	0.190217551225462	0.1677	0.0591767001940741	0.127242524916944	0.3657322	1.5649	0.104721432786066	0.0832001942616142	1392	NA	NA	1.017	FALSE
YMR145C	1683	chr13_556454_556475,	20,	1.1883541295306	0.0749458796881574	0.06900019	-1.16114971338104	2.0377	0.309140245453068	0.3453	-0.461803421650546	0.0138	-1.86012091359876	0.652832603327385	0.341959567198285	0.2605	0.0338618000687049	0.0399652476107732	0.445853	1.2504	0.030951905672946	0.0551824936020473	1683	4930	6.3	1.021	FALSE
YPR074C	2043	chr16_692900_692921,	21,	1.02790014684288	0.0119509281014717	NA	NA	NA	NA	0.2768	-0.55783391421528	0.0057	-2.24412514432751	0.657075963965941	0.0464606253407616	0.4894	NA	0.0205924855491329	0.4657084	NA	0.0122394184859023	NA	2043	40300	11.2	0.968	FALSE
YDL100C	1065	chr4_282610_282628,	18,	1.69014084507042	0.22792289732855	0.049800023	-1.30277045666256	2.27019	0.35606220631138	0.3711	-0.430509045651217	0.0027	-2.56863623584101	0.662857264390714	0.0285917712461725	0.3222	0.021936500028632	0.00727566693613581	0.4954692	1.3728	0.00544938010273898	0.036276240530303	1065	17300	6.1	0.987	FALSE
YOR344C	876	chr15_977835_977861,	26,	2.96803652968037	0.472469241802737	NA	NA	NA	NA	0.2785	-0.555174800490252	0.0199	-1.70114692359029	0.642422877960673	0.163796721789935	0.1907	NA	0.0714542190305206	0.3521102	NA	0.0565163974233067	NA	876	486	1.9	1.012	FALSE
YJL006C	972	chr10_423084_423109,	25,	2.57201646090535	0.410273743745763	NA	NA	NA	NA	0.4271	-0.369470428573176	0.0266	-1.57511836336893	0.651860085613604	0.046801884987837	0.113	NA	0.0622804963708733	0.470718	NA	0.0565094175281166	NA	972	1590	0.8	0.968	FALSE
YDR233C	888	chr4_930198_930220,	22,	2.47747747747748	0.394009715043605	0.095300289	-1.02090578235312	1.93649	0.287015258638893	0.2667	-0.573976984310124	0.0247	-1.60730304674033	0.649488573460475	0.0113862109906017	0.3977	0.0492129001440751	0.0926134233220847	0.4202122	0.8775	0.058779826002196	0.108604317948718	888	37100	12	0.997	FALSE
YDL193W	1128	chr4_115525_115558,	33,	2.92553191489362	0.466204840230564	0.120100006	-0.920456970900451	1.76186	0.245971395765541	0.2521	-0.598427154323554	0.0243	-1.61439372640169	0.650556810353097	0.142839264277658	0.1991	0.0681666000703802	0.096390321301071	0.3289526	1.1195	0.0738708251583967	0.107280041089772	1128	NA	0.8	0	TRUE
YKL152C	744	chr11_163894_163909,	15,	2.01612903225806	0.304518323509802	NA	NA	NA	NA	0.1183	-0.927015255372069	0.0019	-2.72124639904717	0.633582048508626	0.968304731872573	0.8115	NA	0.0160608622147084	0.431539	NA	0.00440284655616294	NA	744	172000	32.3	0	TRUE
YKL189W	1200	chr11_85637_85661,	24,	2	0.301029995663981	0.046700048	-1.33068267305007	2.18491	0.339433552378121	0.3899	-0.409046764812014	0.0119	-1.92445303860747	0.619104400080281	0.205477046264801	0.1536	0.0213739000691104	0.0305206463195691	0.4491896	1.5981	0.0264921538699916	0.0292222313997872	1200	1280	0.6	0	TRUE
YDL113C	1923	chr4_258115_258133,	18,	0.93603744149766	-0.0287067791351738	NA	NA	NA	NA	0.3061	-0.514136670402665	0.0296	-1.52870828894106	0.653033550247438	0.112207249378177	0.1407	NA	0.0967004246978112	0.3604102	NA	0.0821286411982791	NA	1923	358	0.3	1.007	FALSE
YPR145W	1719	chr16_823384_823398,	14,	0.814426992437464	-0.0891478410088144	NA	NA	NA	NA	0.2767	-0.557990840859048	0.0103	-1.98716277529483	0.657352433468026	0.114194307133124	0.3682	NA	0.0372244307914709	0.4188252	NA	0.0245925985351407	NA	1719	NA	12	1.006	FALSE
YLR234W	1971	chr12_611542_611565,	23,	1.16692034500254	0.0670412117381496	NA	NA	NA	NA	0.4408	-0.355758414156271	0.0066	-2.18045606445813	0.650515512946451	0.067365684032589	0.1028	NA	0.01497277676951	0.4804808	NA	0.0137362408653998	NA	1971	468	0.1	0.96	FALSE
YGL139W	2409	chr7_246895_246913,	18,	0.74719800747198	-0.126564294895037	NA	NA	NA	NA	0.3633	-0.439734602137285	0.0222	-1.65364702554936	0.644338812536373	0.242983154338095	0.1425	NA	0.0611065235342692	0.418305	NA	0.0530713235557787	NA	2409	NA	0.9	1.003	FALSE
YGL006W	3522	chr7_488667_488696,	29,	0.823395797842135	-0.084391353732302	NA	NA	NA	NA	0.3805	-0.419645338893408	0.0418	-1.37882371822496	0.644862024897051	0.153669129610494	0.1585	NA	0.109855453350854	0.441681	NA	0.0946384381487997	NA	3522	98.9	0.6	1.003	FALSE
YMR162C	4971	chr13_582312_582325,	13,	0.261516797425065	-0.582500410832162	NA	NA	NA	NA	0.4136	-0.383419469914114	0.0326	-1.48678239993206	0.650324381464311	0.423768423733633	0.1337	NA	0.0788201160541586	0.4652082	NA	0.0700761508503074	NA	4971	NA	0.3	1.017	FALSE
YNL139C	4794	chr14_361289_361305,	16,	0.33375052148519	-0.47657804704171	NA	NA	NA	NA	0.2926	-0.533725678210708	0.1295	-0.887730231582729	0.65944990427215	0.0149176664803924	0.1509	NA	0.442583732057416	0.3508474	NA	0.369106340819399	NA	4794	521	NA	0.886	FALSE
YOR043W	1461	chr15_411472_411494,	22,	1.50581793292266	0.177772464887909	NA	NA	NA	NA	0.3487	-0.457548052624023	0.0104	-1.98296666070122	0.640131721457309	0.0552523913207044	0.1543	NA	0.02982506452538	0.4082598	NA	0.0254739751501372	NA	1461	1800	1.2	1.018	FALSE
YHR119W	3243	chr8_348091_348118,	27,	0.832562442183164	-0.0795831845139854	NA	NA	NA	NA	0.3508	-0.454940415305997	0.0635	-1.19722627470802	0.640611137922166	0.16669134183223	0.1464	NA	0.181014823261117	0.4073104	NA	0.155900757751337	NA	3243	172	0.7	NA	NA
YBR058C	2346	chr2_353640_353674,	34,	1.44927536231884	0.161150909262745	0.17010005	-0.769295558728872	2.2785	0.357649032918468	0.4854	-0.313900228004084	0.046	-1.33724216831843	0.655995407616457	0.166474601389701	0.162	0.0746543998244459	0.0947672023073754	0.547932	1.6927	0.0839520232437602	0.100490370414131	2346	3040	0.7	1.005	FALSE
YNL088W	4287	chr14_459617_459643,	26,	0.606484721250292	-0.217180135539815	0.129600367	-0.887393768636342	2.36851	0.374475222686796	0.4	-0.397940008672038	0.0334	-1.47625353318844	0.659498928334997	0.104785449731153	0.1745	0.0547180999869116	0.0835	0.467357	1.7216	0.0714657103670213	0.0752790235827138	4287	5730	1.5	0	TRUE
YIL038C	2511	chr9_281210_281230,	20,	0.796495420151334	-0.0988167170489412	0.131300264	-0.881734400691724	2.09835	0.321877929229836	0.4418	-0.354774288464584	0.028	-1.55284196865778	0.651872820278505	0.0196056057585891	0.1443	0.0625730998165225	0.06337709370756	0.4974998	1.5686	0.0562814296608762	0.083705383144205	2511	2490	2	0.953	FALSE
YHR139C	981	chr8_379081_379098,	17,	1.7329255861366	0.238779913998325	0.159700023	-0.796695021314414	2.54599	0.40585669352292	0.4443	-0.352323686759129	0.0131	-1.88272870434424	0.638644908491928	0.12056355432916	0.1802	0.0627260998668494	0.029484582489309	0.5138572	1.9006	0.0254934639429009	0.0840261091234347	981	NA	0.1	1.017	FALSE
YPR085C	1332	chr16_709674_709690,	16,	1.2012012012012	0.0796157578216425	NA	NA	NA	NA	0.3908	-0.408045444953265	0.1039	-0.983384452442822	0.656893312688517	0.0406353106957617	0.1215	NA	0.265864892528147	0.437699	NA	0.237377741324518	NA	1332	NA	0.3	0	TRUE
YDL084W	1341	chr4_305863_305897,	34,	2.53542132736764	0.404050139190656	NA	NA	NA	NA	0.1441	-0.841336019186011	0	NA	0.656499603582825	0.131426421274669	0.3743	NA	0	0.2885798	NA	0	NA	1341	51700	7.1	0	TRUE
YOR092W	1842	chr15_496389_496400,	11,	0.597176981541802	-0.223896940702605	0.115099994	-0.938924699009365	2.01882	0.305097598541643	0.3976	-0.400553624274724	0.0248	-1.60554831917378	0.63882655894976	0.166122428370784	0.1815	0.0570134999653263	0.062374245472837	0.467659	1.3704	0.053030092439149	0.0839900715119673	1842	NA	0.4	1.009	FALSE
YNL199C	1605	chr14_266053_266072,	19,	1.18380062305296	0.073278564211938	0.098400244	-1.00700382466091	2.05586	0.312993536734891	0.3784	-0.422048872270245	0.0236	-1.62708799702989	0.659124795693811	0.0745942042298728	0.0902	0.0478633000301577	0.0623678646934461	0.4132172	1.6059	0.0571128210539155	0.0612742038732175	1605	NA	1.2	0.892	FALSE
YIL017C	2766	chr9_319574_319587,	13,	0.46999276934201	-0.327908823466455	0.120500027	-0.919012855778327	2.03686	0.308961179556398	0.4257	-0.370896349822864	0.0338	-1.47108329972235	0.65177752077336	0.0942177266915563	0.1133	0.0591597002248559	0.0793986375381724	0.4694338	1.4955	0.0720016326050659	0.0805750765630224	2766	NA	NA	0.961	NA
YLR288C	1425	chr12_713976_713988,	12,	0.842105263157895	-0.0746336182969042	NA	NA	NA	NA	0.3989	-0.39913596369016	0.0172	-1.76447155309245	0.643498468067691	0.0402856083791169	0.1077	NA	0.0431185760842316	0.4404722	NA	0.0390490024115029	NA	1425	NA	0.2	1.002	FALSE
YGR233C	3537	chr7_958119_958131,	12,	0.339270568278202	-0.469453813767127	NA	NA	NA	NA	0.3447	-0.462558716592052	0.0099	-2.00436480540245	0.645809241289155	0.0940964832549416	0.1339	NA	0.0287206266318538	0.3963854	NA	0.0249756928484248	NA	3537	2930	0.3	0.955	FALSE
YBR127C	1554	chr2_491335_491355,	20,	1.28700128700129	0.109578981199086	0.014400005	-1.84163735710808	1.68327	0.226153783299221	0.1871	-0.72792621249999	0.0035	-2.45593195564972	0.65587046182785	0.0941315008885959	0.39	0.00855478027886198	0.0187065740245858	0.33764	0.7066	0.0103660703708091	0.0203792881403906	1554	131000	5.8	0.944	FALSE
YIL072W	1818	chr9_227839_227859,	20,	1.1001100110011	0.0414361167780326	0.129100101	-0.889073417968084	2.14316	0.331054594991068	0.5149	-0.288277108172765	0.0379	-1.42136079003193	0.652457887791983	0.0398827043970796	0.1287	0.060238200134381	0.0736065255389396	0.5645782	1.6018	0.0671297616521502	0.0805968916219253	1818	NA	NA	1.007	FALSE
YKL176C	2487	chr11_117003_117016,	13,	0.522718134298351	-0.281732432963099	0.126700363	-0.897222140849225	2.29263	0.360333971029922	0.4276	-0.36896230346326	0.0295	-1.53017798402184	0.623468601459753	0.00540317717101324	0.1172	0.0552642000671718	0.0689897100093545	0.4728392	1.7649	0.0623890743407061	0.0717889755793529	2487	NA	1.1	0.958	FALSE
YNR038W	1890	chr14_696292_696320,	28,	1.48148148148148	0.170696227168975	0.194099958	-0.711974558585724	2.13505	0.329408050072906	0.3084	-0.51088563062108	0.0546	-1.26280735729526	0.660692361879843	0.0593496673728677	0.1869	0.0909112002060842	0.17704280155642	0.3805434	1.4735	0.143479035505543	0.131727151679674	1890	12700	1	0	TRUE
YOR341W	4995	chr15_960997_961038,	41,	0.820820820820821	-0.0857516358422656	0.030200073	-1.51999200725944	2.19216	0.340872248982588	0.3428	-0.464959186748839	0.0086	-2.06550154875643	0.642775380914027	0.0301440937112504	0.2794	0.0137763999890519	0.0250875145857643	0.4506484	1.3382	0.0190836137441074	0.0225676827081154	4995	2840	2	0	TRUE
YLR146C	903	chr12_433341_433388,	47,	5.20487264673311	0.716410107622212	NA	NA	NA	NA	0.328	-0.484126156288321	0.0455	-1.34198860334289	0.649444806410025	0.239449381738485	0.168	NA	0.138719512195122	0.392848	NA	0.115820877285871	NA	903	3870	1.5	1.015	FALSE
YPL147W	2613	chr16_274248_274267,	19,	0.727133562954459	-0.138385808774497	NA	NA	NA	NA	0.3475	-0.459045191073867	0.0247	-1.60730304674033	0.656760060310629	0.0713968163134204	0.1312	NA	0.0710791366906475	0.3981432	NA	0.0620379803045738	NA	2613	NA	NA	1.008	FALSE
YBR067C	633	chr2_372226_372242,	16,	2.52764612954186	0.40271627263857	NA	NA	NA	NA	0.3097	-0.509058794643213	0.0406	-1.39147396642281	0.657786378541096	0.376835859143977	0.4498	NA	0.131094607684856	0.4833228	NA	0.0840018306605854	NA	633	35600	10.7	1.026	FALSE
YLR270W	1053	chr12_681510_681588,	78,	7.40740740740741	0.869666231504994	NA	NA	NA	NA	0.3274	-0.484921324924077	0.0127	-1.89619627904404	0.648774780382393	0.528249542986617	0.2544	NA	0.0387904703726329	0.4255984	NA	0.0298403377456306	NA	1053	9920	0.8	0.802	FALSE
YLR353W	1812	chr12_834458_834477,	19,	1.0485651214128	0.0205954076120347	0.318299428	-0.497164141827212	1.96976	0.294413313966035	0.2814	-0.550675906901273	0.0198	-1.70333480973847	0.637933286909914	0.0161219716929215	0.1054	0.161593000162456	0.070362473347548	0.3220844	1.5092	0.0614745700195353	0.210906061489531	1812	NA	0.3	1.012	FALSE
YML072C	4638	chr13_128446_128496,	50,	1.07805088400172	0.0326392600340503	NA	NA	NA	NA	0.388	-0.411168274405793	0.0291	-1.53610701101409	0.646198127124623	0.0825077728295042	0.2064	NA	0.075	0.4676704	NA	0.0622233094076512	NA	4638	4280	2.5	1.018	FALSE
YOL088C	834	chr15_154472_154497,	25,	2.99760191846523	0.476773958034299	0.313000759	-0.504454609325398	1.98103	0.296891052386505	0.34	-0.468521082957745	0.0798	-1.09799710864927	0.612491797100884	0.0588055206737767	0.1739	0.157999000015144	0.234705882352941	0.4071254	1.3114	0.196008404290177	0.238676802653653	834	1520	1	1.018	FALSE
YNL277W	1461	chr14_117667_117684,	17,	1.16358658453114	0.0657987054439772	0.071500053	-1.14569363627446	2.09543	0.321273157357165	0.447	-0.349692476868063	0.0165	-1.78251605578609	0.671473006945332	0.0998321076451372	0.1361	0.03412190003961	0.0369127516778524	0.4995346	1.5066	0.0330307450174623	0.047457887295898	1461	2240	0.2	NA	FALSE
YPL122C	1542	chr16_320162_320201,	39,	2.52918287937743	0.402980233311561	0.031299898	-1.50445707772861	2.09161	0.320480709527114	0.2974	-0.526659035814064	0.006	-2.22184874961636	0.657906855082497	0.10849511796663	0.1721	0.0149645000741056	0.0201748486886348	0.3638306	1.424	0.0164911912302044	0.0219802654494382	1542	8900	0.9	0	TRUE
YMR217W	1578	chr13_701890_701910,	20,	1.26742712294043	0.10292299679058	0.01729999	-1.76195414790855	2.15208	0.332858411470549	0.3058	-0.514562518923699	0.0022	-2.65757731917779	0.649546087345591	0.0276710749143034	0.4622	0.00803872997286346	0.00719424460431655	0.4842092	0.9623	0.00454349070608324	0.0179777512210329	1578	NA	8.1	NA	FALSE
