name	length	type	location(gene before, gene after)	SGDfeatures	significance
chr16_689559_689641	82	Intergenic	YPR071W_757,YPR072W_460		
chr2_680638_681813	1175	Intergenic	YBR230C_633,YBR231C_320		
chr16_667453_667471	18	Intergenic	YPR054W_12,YPR055W_199		
chr11_490605_490678	73	Intergenic	YKR026C_1312,YKR027W_323		
chr4_753322_753342	20	Intergenic	YDR147W_94,YDR148C_325		
chr10_576524_576537	13	Intergenic	YJR076C_229,YJR077C_411		
chr4_635110_635154	44	Coding	YDR093W		
chr4_204899_204916	17	Coding	YDL141W		
chr15_780626_780646	20	Intergenic	YOR234C_1221,YOR236W_259		
chr4_982144_982155	11	Intergenic	YDR261C_2944,YDR262W_10969	YDRWTY2-3,YDR261W-B,YDR261W-A,	
chr4_1116886_1116902	16	Intergenic	YDR324C_131,YDR325W_213		
chr3_139122_139152	30	Intergenic	YCR012W_132,YCR014C_26		
chr5_177097_177169	72	Intergenic	YER011W_1086,YER012W_664		
chr5_354680_354694	14	Intergenic	YER096W_1448,YER098W_767	YERWDELTA13,YERCTAU2,	
chr4_1298293_1298314	21	Intergenic	YDR415C_144,YDR416W_105		
chr11_284651_284668	17	Intergenic	YKL081W_555,YKL080W_2		
chr14_493434_493453	19	Coding	YNL070W		
chr14_89207_89304	97	Intergenic	YNL289W_473,YNL288W_996		
chr10_233635_233708	73	Intergenic	YJL102W_178,YJL101C_308		
chr9_313954_313980	26	Intergenic	YIL021W_95,YIL020C_52	YIL020C-A,	
chr4_492359_492395	36	Intergenic	YDR025W_40,YDR026C_155		
chr14_316403_316420	17	Coding	YNL169C		
chr16_143369_143389	20	Intergenic	YPL217C_199,YPL216W_430		
chr7_610799_610821	22	Coding	YGR060W		
chr12_389137_389149	12	Coding	YLR121C		
chr10_663442_663637	195	Intergenic	YJR127C_688,YJR129C_57		
chr15_448845_448861	16	Intergenic	YOR065W_476,YOR066W_575		
chr7_609584_609697	113	Intergenic	YGR059W_482,YGR060W_867		
chr5_441736_442411	675	Intergenic	YER137C_-79,YER138W-A_7058	YER137W-A,YER137W-A,	
chr15_228328_228402	74	Intergenic	YOL055C_2255,YOL054W_209		
chr13_211474_211508	34	Intron	YML034W		
chr15_796923_796938	15	Intergenic	YOR246C_130,YOR247W_737		
chr11_619055_619074	19	Intergenic	YKR094C_671,YKR095W_364		
chr13_538721_538761	40	Coding	YMR135C		
chr11_305561_305582	21	Intergenic	YKL071W_36,YKL070W_269		
chr10_584770_584792	22	Intergenic	YJR084W_72,YJR085C_21		
chr13_646863_646883	20	Intergenic	YMR191W_87,YMR192W_233		
chr9_277010_277028	18	Intergenic	YIL042C_719,YIL041W_-505		
chr12_605299_605432	133	Intergenic	YLR229C_512,YLR231C_325		
chr7_488667_488696	29	Coding	YGL006W		
chr5_167425_167585	160	Intergenic	YER007C-A_541,YER008C_221		
chr13_266853_266872	19	Intergenic	YML002W_99,YML001W_301		
chr14_586085_586171	86	Intergenic	YNL025C_798,YNL024C-A_426		
chr11_364414_364515	101	Intergenic	YKL039W_557,YKL038W_728		
chr15_525392_525406	14	Coding	YOR109W		
chr1_189600_189630	30	Intergenic	YAR033W_795,YAR035W_556	YARWDELTA7,	
chr14_569862_569936	74	Intergenic	YNL035C_175,YNL034W_536		
chr6_245732_245745	13	Intergenic	YFR047C_579,YFR048W_387		
chr7_255525_255546	21	Intergenic	YGL135W_228,YGL134W_119		
chr7_366374_366470	96	Intergenic	YGL076C_377,YGL075C_455		
chr12_837524_837550	26	Intergenic	YLR354C_168,YLR355C_514		
chr14_716068_716095	27	Intergenic	YNR050C_683,YNR051C_681		
chr10_542649_542738	89	Intergenic	YJR056C_453,YJR057W_1017		
chr5_438695_438769	74	Intergenic	YER134C_896,YER136W_842		
chr2_595957_595977	20	Intergenic	YBR182C-A_447,YBR183W_92		
chr16_582056_582129	73	Intergenic	YPR010C_865,YPR011C_927		
chr2_596866_596882	16	Coding	YBR183W		
chr5_434536_434608	72	Intergenic	YER133W_582,YER134C_2654		
chr15_607999_608020	21	Coding	YOR147W		
chr9_283116_283127	11	Coding	YIL037C		
chr5_443197_443271	74	Intergenic	YER137C_1382,YER138W-A_6198		
chr2_202729_202754	25	Coding	YBL013W		
chr12_1029591_1029606	15	Coding	YLR448W		
chr4_874347_874361	14	Intergenic	YDR210W_3054,YDR211W_10357	YDRWTY2-2,YDR210W-B,	
chr14_662127_662150	23	Intergenic	YNR016C_756,YNR017W_759		
chr11_617753_617773	20	Coding	YKR094C		
chr7_256513_256528	15	Coding	YGL134W		
chr16_648737_648792	55	Coding	YPR041W		
chr4_984567_984582	15	Intergenic	YDR261C_5367,YDR262W_8542	YDRWTY2-3,YDR261W-B,	
chr4_1175817_1175890	73	Intergenic	YDR349C_1652,YDR350C_436		
chr15_577481_577498	17	Coding	YOR133W		
chr7_707396_707419	23	Intergenic	YGR109C_894,YGR110W_6290	YGRWTY3-1,YGRWSIGMA4,	
chr11_313041_313113	72	Intergenic	YKL068W_322,YKL067W_1339		
chr8_223930_223949	19	Intergenic	YHR062C_171,YHR063C_81		
chr14_283945_283990	45	Intergenic	YNL190W_940,YNL189W_265		
chr16_621682_621694	12	Intergenic	YPR027C_429,YPR028W_1827		
chr4_518633_518646	13	Intergenic	YDR034C_6530,YDR034C-A_1863	YDRCTY2-1,YDR034C-D,YDR034C-C,	
chr11_307784_307858	74	Intergenic	YKL069W_316,YKL068W-A_988		
chr13_553211_553224	13	Intergenic	YMR143W_309,YMR144W_136		
chr10_374119_374191	72	Intergenic	YJL039C_624,YJL038C_619	ARS1012,	
chr16_438081_438098	17	Intergenic	YPL060W_2322,YPL059W_6475	YPLCTY4-1,	
chr12_81052_81063	11	Intergenic	YLL031C_848,YLL029W_396		
chr13_599837_599880	43	Coding	YMR169C		
chr13_480619_480692	73	Intergenic	YMR106C_430,YMR107W_2320		
chr14_716116_716281	165	Intergenic	YNR050C_731,YNR051C_495		
chr15_259488_259578	90	Intergenic	YOL036W_460,YOL034W_344		
chr16_665530_665574	44	Intergenic	YPR051W_45,YPR052C_113		
chr7_472629_472650	21	Intergenic	YGL013C_328,YGL012W_207		
chr12_448650_448722	72	Intergenic	YLR154C_335,YLR154W-C_3716		
chr11_495708_495721	13	Coding	YKR028W		
chr4_1236139_1236185	46	Intergenic	YDR380W_26,YDR381W_360		
chr15_854183_854256	73	Intergenic	YOR289W_74,YOR290C_887		
chr2_639177_639193	16	Coding	YBR208C		
chr16_580394_580407	13	Coding	YPR010C		
chr4_415016_415038	22	Intergenic	YDL021W_132,YDL020C_70		
chr13_297276_297362	86	Intergenic	YMR013C_539,YMR013W-A_947		
chr12_628382_628497	115	Intergenic	YLR246W_185,YLR247C_186		
chr4_410374_410447	73	Intergenic	YDL024C_521,YDL022W_1373		
chr13_896775_896795	20	Intergenic	YMR310C_106,YMR311C_118		
chr15_548622_548634	12	Intergenic	YOR118W_62,YOR119C_157		
chr15_680641_680996	355	Intergenic	YOR184W_97,YOR185C_447		
chr10_197011_197084	73	Intergenic	YJL115W_186,YJL112W_7917		
chr12_455414_455572	158	Intergenic	YLR154W-A_343,YLR154W-E_-139	RDN37-1,	
chr6_101369_101472	103	Intergenic	YFL020C_1776,YFL018C_149		
chr11_580327_580344	17	Intergenic	YKR074W_1015,YKR075C_-882		
chr3_50369_50397	28	Intergenic	YCL043C_148,YCL042W_186	YCL041C,	
chr16_839482_839503	21	Coding	YPR156C		
chr4_1489448_1489468	20	Intergenic	YDR524C_470,YDR524W-A_-78		
chr4_518074_518089	15	Intergenic	YDR034C_5971,YDR034C-A_2420	YDRCTY2-1,YDR034C-D,YDR034C-C,	
chr14_719118_719142	24	Intergenic	YNR051C_794,YNR052C_200		
chr4_1409809_1409831	22	Intergenic	YDR473C_3967,YDR475C_-2380		
chr16_856895_856968	73	Intergenic	YPR158W_12881,YPR159W_608	RUF6,	
chr4_875151_875163	12	Intergenic	YDR210W_3858,YDR211W_9555	YDRWTY2-2,YDR210W-B,	
chr12_391328_391340	12	Intergenic	YLR121C_1057,YLR125W_2144	YLR122C,YLR122C,YLR123C,	
chr4_831761_831776	15	Intergenic	YDR184C_256,YDR185C_149		
chr11_512948_512959	11	Intergenic	YKR038C_152,YKR039W_1740		
chr5_61889_61960	71	Intergenic	YEL050C_1038,YEL049W_1767		
chr4_306657_306672	15	Intergenic	YDL084W_81,YDL083C_252		
chr14_568110_568213	103	Intergenic	YNL036W_7635,YNL035C_304		
chr10_269541_269563	22	Intergenic	YJL088W_30,YJL087C_134		
chr4_50465_50481	16	Intergenic	YDL227C_2433,YDL226C_634		
chr15_972814_972828	14	Intergenic	YOR342C_5196,YOR344C_4358	YORWTY2-2,YOR343W-B,	
chr4_444273_444284	11	Intergenic	YDL004W_766,YDL003W_394		
chr6_123085_123585	500	Intergenic	YFL008W_-16,YFL007W_-112		
chr4_875577_875588	11	Intergenic	YDR210W_4284,YDR211W_9130	YDRWTY2-2,YDR210W-B,	
chr15_1088813_1088842	29	Intergenic	YOR394C-A_4450,YOR396W_-1660	TEL15R,TEL15R-YP,	
chr11_421238_421260	22	Coding	YKL010C		
chr7_157728_157759	31	Intergenic	YGL183C_439,YGL181W_150		
chr4_1301172_1301183	11	Intergenic	YDR416W_173,YDR418W_420		
chr16_272868_272887	19	Intergenic	YPL148C_54,YPL147W_366		
chr6_162221_162292	71	Intergenic	YFR008W_1027,YFR009W_189		
chr8_388893_388996	103	Intergenic	YHR144C_166,YHR146W_1304	YHR145C,	
chr13_298552_298650	98	Intergenic	YMR013W-A_162,YMR014W_216		
chr15_897317_897357	40	Coding	YOR310C		
chr10_59099_59172	73	Intergenic	YJL200C_286,YJL198W_1670		
chr3_147937_147955	18	Intergenic	YCR017C_309,YCR018C_276		
chr3_168292_168364	72	Intergenic	YCR027C_301,YCR028C_2513		
chr7_1043789_1043813	24	Intergenic	YGR275W_36,YGR276C_9		
chr15_841954_842179	225	Intergenic	YOR276W_139,YOR278W_634		
chr16_709674_709690	16	Coding	YPR085C		
chr7_1012428_1012440	12	Intergenic	YGR258C_1658,YGR260W_48		
chr13_290799_290871	72	Intergenic	YMR011W_1096,YMR012W_261		
chr4_1243251_1243290	39	Coding	YDR385W		
chr9_355601_355629	28	Intergenic	YIL001W_123,YIR001C_510	CEN9,	
chr15_832328_832518	190	Intergenic	YOR271C_289,YOR272W_291		
chr4_383384_383397	13	Intergenic	YDL039C_1055,YDL038C_-1072		
chr14_631842_631914	72	Intergenic	YNR001C_784,YNR002C_1090		
chr2_9582_9666	84	Intergenic	YBL108C-A_1849,YBL107C_294		
chr9_96184_96198	14	Coding	YIL135C		
chr5_138665_138737	72	Intergenic	YEL011W_3431,YEL009C_180		
chr15_912243_912254	11	Intergenic	YOR317W_805,YOR319W_560	YOR318C,	
chr2_414597_414624	27	Coding	YBR084C-A		
chr10_423084_423109	25	Coding	YJL006C		
chr4_1278749_1278762	13	Intergenic	YDR405W_324,YDR406W_435		
chr12_805779_805790	11	Intergenic	YLR337C_673,YLR340W_96	YLR339C,	
chr15_724962_725008	46	Intergenic	YOR204W_237,YOR205C_555		
chr7_700675_700757	82	Intergenic	YGR106C_888,YGR108W_2879		
chr2_122216_122234	18	Intergenic	YBL052C_380,YBL051C_480		
chr10_649019_649059	40	Intergenic	YJR121W_182,YJR122W_411		
chr12_660550_660573	23	Intergenic	YLR257W_759,YLR258W_142		
chr2_88184_88272	88	Intergenic	YBL074C_400,YBL072C_245		
chr12_752016_752039	23	Intergenic	YLR309C_247,YLR310C_184		
chr13_298136_298224	88	Intergenic	YMR013C_1399,YMR013W-A_85		
chr12_198784_199385	601	Intergenic	YLR027C_698,YLR028C_155		
chr12_681510_681588	78	Coding	YLR270W		
chr7_712407_712430	23	Intergenic	YGR109C_5905,YGR110W_1279	YGRWTY3-1,YGRWSIGMA5,	
chr13_739705_739722	17	Intergenic	YMR232W_747,YMR233W_-539		
chr12_962966_963050	84	Intergenic	YLR419W_236,YLR420W_729		
chr7_110626_110698	72	Intergenic	YGL205W_220,YGL203C_1778		
chr4_353953_353977	24	Coding	YDL056W		
chr13_582312_582325	13	Coding	YMR162C		
chr12_587599_587621	22	Intergenic	YLR224W_26,YLR225C_73		
chr4_872795_872806	11	Intergenic	YDR210W_1502,YDR211W_11912	YDRWTY2-2,YDR210W-B,YDR210W-A,	
chr11_514537_514560	23	Intergenic	YKR038C_1741,YKR039W_139		
chr4_223677_223715	38	Intergenic	YDL133C-A_1876,YDL133W_-1289		
chr15_409896_409912	16	Intergenic	YOR042W_237,YOR043W_956		
chr3_236805_236817	12	Intergenic	YCR067C_491,YCR068W_388		
chr15_167345_167359	14	Intergenic	YOL083W_394,YOL082W_1366		
chr7_876395_876468	73	Intergenic	YGR188C_1284,YGR189C_202		
chr15_477871_477953	82	Coding	YOR081C		
chr16_173825_173903	78	Intron	YPL198W		
chr4_1166857_1166894	37	Intergenic	YDR345C_2208,YDR346C_308		
chr14_260514_260543	29	Intergenic	YNL202W_61,YNL201C_80		
chr3_261264_261277	13	Coding	YCR084C		
chr4_1279463_1279544	81	Coding	YDR406W		
chr16_283074_283089	15	Intergenic	YPL143W_105,YPL141C_373		
chr11_141018_141090	72	Intergenic	YKL165C_326,YKL164C_704		
chr16_259541_259568	27	Intergenic	YPL155C_206,YPL154C_144		
chr9_69190_69234	44	Coding	YIL148W		
chr7_307490_307506	16	Coding	YGL105W		
chr12_61592_61608	16	Coding	YLL040C		
chr11_219711_219738	27	Intergenic	YKL119C_852,YKL117W_227		
chr14_632595_632669	74	Intergenic	YNR001C_1537,YNR002C_335		
chr3_189315_189353	38	Coding	YCR033W		
chr14_585131_585153	22	Coding	YNL025C		
chr5_397640_397715	75	Intergenic	YER117W_-9,YER118C_232		
chr7_921629_921672	43	Coding	YGR214W		
chr11_578600_578696	96	Intergenic	YKR072C_841,YKR074W_148		
chr14_564578_564677	99	Intergenic	YNL036W_4103,YNL035C_3840	YNLCTY2-1,	
chr11_244656_244688	32	Coding	YKL104C		
chr8_98245_98269	24	Intergenic	YHL007C_313,YHL006C_40		
chr12_721549_721579	30	Intergenic	YLR293C_119,YLR295C_419		
chr11_149995_150008	13	Coding	YKL161C		
chr5_481360_481371	11	Coding	YER155C		
chr13_427913_427926	13	Coding	YMR080C		
chr12_374355_374428	73	Intergenic	YLR113W_1427,YLR114C_516		
chr13_123382_123397	15	Coding	YML073C		
chr7_541850_541922	72	Intergenic	YGR027C_7391,YGR028W_281		
chr2_645121_645193	72	Intergenic	YBR208C_2956,YBR210W_311		
chr7_406969_407002	33	Coding	YGL049C		
chr11_117003_117016	13	Coding	YKL176C		
chr16_775760_775832	72	Intergenic	YPR120C_582,YPR121W_2744		
chr5_417185_417248	63	Intergenic	YER128W_719,YER129W_28		
chr12_455933_457733	1800	Intergenic	YLR154W-F_-91,YLR154C-G_4789	RDN37-1,	
chr7_794418_794491	73	Intergenic	YGR150C_1363,YGR152C_184		
chr15_820380_820392	12	Intergenic	YOR264W_225,YOR265W_58		
chr2_240996_241009	13	Coding	YBR001C		
chr3_97100_97128	28	Coding	YCL014W		
chr9_264940_264994	54	Intergenic	YIL048W_49,YIL047C_119		
chr13_18907_18923	16	Intergenic	YML127W_97,YML126C_137		
chr10_466046_466067	21	Intergenic	YJR016C_144,YJR017C_147		
chr5_322207_322758	551	Intergenic	YER080W_365,YER081W_-77		
chr8_286578_286593	15	Coding	YHR091C		
chr10_106823_106858	35	Intergenic	YJL166W_113,YJL165C_27		
chr16_440779_440798	19	Intergenic	YPL060W_5020,YPL059W_3775	YPLCTY4-1,YPL060C-A,	
chr12_802506_802527	21	Intergenic	YLR336C_110,YLR337C_125		
chr12_71169_71186	17	Coding	YLL034C		
chr10_126421_126445	24	Intergenic	YJL157C_396,YJL156C_141	YJL156W-A,	
chr4_518339_518368	29	Intergenic	YDR034C_6236,YDR034C-A_2141	YDRCTY2-1,YDR034C-D,YDR034C-C,	
chr4_1352453_1352526	73	Intergenic	YDR444W_112,YDR446W_1186	YDR445C,	
chr14_634586_634605	19	Coding	YNR003C		
chr9_175027_175100	73	Intergenic	YIL102C_143,YIL101C_203		
chr14_630891_630914	23	Coding	YNR001C		
chr13_71484_71498	14	Coding	YML100W		
chr5_307256_307282	26	Intergenic	YER074W_64,YER074W-A_366		
chr10_651766_651797	31	Coding	YJR123W		
chr8_466985_467057	72	Intergenic	YHR179W_3285,YHR181W_166	YHR180W-A,YHR180C-B,	
chr4_1095361_1095453	92	Intergenic	YDR316W_191,YDR317W_6722		
chr15_666844_666858	14	Coding	YOR177C		
chr16_473094_473116	22	Coding	YPL042C		
chr9_351805_351818	13	Coding	YIL002C		
chr15_506773_506799	26	Intergenic	YOR096W_6,YOR097C_178		
chr9_214884_214899	15	Intergenic	YIL078W_184,YIL077C_88		
chr2_257784_257804	20	Coding	YBR011C		
chr4_635746_635762	16	Coding	YDR093W		
chr14_96238_96310	72	Intergenic	YNL286W_160,YNL284C_6821	YNL285W,	
chr4_282610_282628	18	Coding	YDL100C		
chr13_557843_557857	14	Coding	YMR146C		
chr14_93460_93475	15	Coding	YNL287W		
chr13_300602_300638	36	Intergenic	YMR014W_176,YMR015C_229		
chr7_595705_595723	18	Intergenic	YGR052W_999,YGR053C_-737		
chr14_515496_515528	32	Intergenic	YNL059C_565,YNL058C_230		
chr15_161469_161484	15	Intergenic	YOL086C_876,YOL084W_870		
chr15_446884_446896	12	Intergenic	YOR064C_145,YOR065W_543		
chr4_1359109_1359122	13	Intergenic	YDR449C_219,YDR450W_788		
chr7_687736_687806	70	Intergenic	YGR098C_277,YGR099W_93		
chr15_842343_842374	31	Intergenic	YOR276W_528,YOR278W_439		
chr13_251048_251080	32	Intergenic	YML010W_180,YML009C_223		
chr7_830238_830249	11	Intergenic	YGR165W_83,YGR166W_267		
chr1_181134_181248	114	Intergenic	YAR023C_1316,YAR027W_2515		
chr13_632373_632388	15	Coding	YMR186W		
chr16_622534_622626	92	Intergenic	YPR027C_1281,YPR028W_895		
chr5_469451_469525	74	Intergenic	YER150W_640,YER151C_155		
chr15_647023_647060	37	Intergenic	YOR165W_127,YOR166C_65		
chr13_309018_309032	14	Intergenic	YMR017W_337,YMR018W_1174		
chr14_326650_326676	26	Intergenic	YNL164C_333,YNL163C_61		
chr12_811475_811486	11	Coding	YLR342W		
chr14_652343_652365	22	Intergenic	YNR013C_634,YNR014W_96		
chr2_715156_715174	18	Coding	YBR248C		
chr11_378988_379001	13	Intergenic	YKL033W_778,YKL032C_701		
chr12_341512_341527	15	Intergenic	YLR099C_583,YLR099W-A_-202		
chr10_424125_424209	84	Intergenic	YJL006C_322,YJL005W_641		
chr14_117667_117684	17	Coding	YNL277W		
chr4_1450142_1450164	22	Intergenic	YDR499W_81,YDR500C_21		
chr11_468614_468660	46	Intergenic	YKR015C_309,YKR016W_694		
chr15_506500_506515	15	Coding	YOR096W		
chr7_1002382_1002395	13	Intergenic	YGR254W_139,YGR255C_130		
chr16_409277_409291	14	Intergenic	YPL078C_538,YPL077C_71		
chr11_229971_229997	26	Intergenic	YKL110C_449,YKL109W_1871		
chr7_319781_319853	72	Intergenic	YGL098W_1701,YGL097W_1929		
chr12_980393_980422	29	Intergenic	YLR424W_4877,YLR425W_2466	YLRCTY2-2,	
chr15_980675_980780	105	Intergenic	YOR344C_2613,YOR346W_1040		
chr7_561662_561744	82	Intergenic	YGR038W_311,YGR040W_13654		
chr15_438643_438739	96	Intergenic	YOR058C_2297,YOR059C_167		
chr12_550366_550394	28	Intergenic	YLR201C_71,YLR203C_257	YLR202C,	
chr5_354929_355001	72	Intergenic	YER096W_1697,YER098W_460		
chr2_372226_372242	16	Coding	YBR067C		
chr7_272798_272814	16	Coding	YGL125W		
chr4_125280_125308	28	Intergenic	YDL188C_281,YDL186W_308		
chr16_706853_706867	14	Intergenic	YPR083W_264,YPR084W_100		
chr13_586634_586708	74	Intergenic	YMR163C_247,YMR164C_564		
chr3_142694_142765	71	Intergenic	YCR015C_530,YCR016W_862	YCRCDELTA7,	
chr7_939458_939673	215	Intergenic	YGR221C_466,YGR222W_249	SNR7-S,	
chr2_164683_164709	26	Intergenic	YBL030C_724,YBL029C-A_-260		
chr16_56168_56274	106	Intergenic	YPL258C_1015,YPL257W_7004		
chr8_146232_146305	73	Intergenic	YHR020W_179,YHR021C_1556		
chr8_475701_475774	73	Intergenic	YHR185C_365,YHR186C_220		
chr12_451786_455182	3396	Intergenic	YLR154W-A_-3285,YLR154W-E_251	RDN37-1,	
chr8_294835_294854	19	Coding	YHR096C		
chr12_943722_943736	14	Intergenic	YLR410W_2745,YLR411W_3512	YLRWTY2-1,YLR410W-B,	
chr11_50776_50820	44	Coding	YKL205W		
chr12_318687_318721	34	Intergenic	YLR088W_735,YLR089C_-484		
chr14_566685_566714	29	Intergenic	YNL036W_6210,YNL035C_1803	YNLCTY2-1,	
chr13_768367_768440	73	Intergenic	YMR247C_329,YMR247W-A_841		
chr7_400223_400254	31	Intergenic	YGL055W_62,YGL054C_617		
chr11_242700_242722	22	Intergenic	YKL105C_475,YKL104C_139		
chr14_459617_459643	26	Coding	YNL088W		
chr7_802367_802379	12	Intergenic	YGR156W_542,YGR157W_62		
chr12_496606_496622	16	Coding	YLR166C		
chr16_692900_692921	21	Coding	YPR074C		
chr8_366540_366568	28	Intergenic	YHR129C_2385,YHR131C_-1227		
chr4_45923_45953	30	Intergenic	YDL229W_16,YDL227C_318		
chr16_401328_401363	35	Coding	YPL082C		
chr2_704095_704124	29	Intergenic	YBR241C_85,YBR242W_500		
chr15_301096_301198	102	Intergenic	YOL014W_1029,YOL013W-B_-152		
chr15_224306_224336	30	Intergenic	YOL056W_129,YOL055C_81		
chr15_282163_282234	71	Intergenic	YOL022C_665,YOL021C_186		
chr13_297916_298005	89	Intergenic	YMR013C_1179,YMR013W-A_304		
chr4_914947_914998	51	Intergenic	YDR224C_244,YDR225W_522		
chr12_522294_522321	27	Intergenic	YLR183C_280,YLR185W_343	YLR184W,	
chr1_106013_106039	26	Intergenic	YAL024C_139,YAL023C_234		
chr15_354039_354112	73	Intergenic	YOR011W_177,YOR011W-A_1538		
chr13_321145_321218	73	Intergenic	YMR023C_129,YMR024W_655		
chr11_109669_109683	14	Intron	YKL180W		
chr16_213182_213199	17	Coding	YPL177C		
chr6_127134_127162	28	Coding	YFL007W		
chr2_307545_308846	1301	Intergenic	YBR035C_631,YBR036C_193		
chr7_73826_73900	74	Intergenic	YGL226W_117,YGL225W_2991		
chr2_591588_591606	18	Intergenic	YBR180W_174,YBR181C_60		
chr15_426402_426418	16	Intergenic	YOR051C_317,YOR052C_354		
chr4_667999_668073	74	Intergenic	YDR106W_148,YDR107C_935		
chr4_305863_305897	34	Coding	YDL084W		
chr14_553031_553043	12	Intergenic	YNL041C_1048,YNL040W_332		
chr12_433341_433388	47	Coding	YLR146C		
chr16_880289_880363	74	Intergenic	YPR169W_127,YPR171W_3458		
chr4_1273184_1273196	12	Coding	YDR402C		
chr4_772598_772612	14	Coding	YDR159W		
chr7_779617_779689	72	Intergenic	YGR143W_2107,YGR144W_711		
chr11_85637_85661	24	Coding	YKL189W		
chr7_213076_213103	27	Coding	YGL156W		
chr14_507584_507603	19	Intergenic	YNL064C_491,YNL063W_150		
chr3_199190_199213	23	Coding	YCR038C		
chr7_482706_482891	185	Intergenic	YGL008C_37,YGL007C-A_52		
chr4_1368069_1368080	11	Coding	YDR456W		
chr12_797177_797249	72	Intergenic	YLR333C_1278,YLR335W_180		
chr5_135424_135497	73	Intergenic	YEL011W_190,YEL009C_3420		
chr16_207668_207685	17	Intergenic	YPL180W_22,YPL179W_470		
chr15_969011_969112	101	Intergenic	YOR342C_1393,YOR344C_8074	YORWSIGMA4,	
chr13_747890_747962	72	Intergenic	YMR238W_162,YMR239C_298		
chr12_382416_382434	18	Intergenic	YLR116W_163,YLR117C_37		
chr15_571957_572029	72	Intergenic	YOR130C_1150,YOR131C_152		
chr15_211864_211879	15	Coding	YOL062C		
chr14_609116_609145	29	Coding	YNL014W	YNL013C,	
chr9_281210_281230	20	Coding	YIL038C		
chr4_1347044_1347061	17	Coding	YDR443C		
chr11_163894_163909	15	Coding	YKL152C	YKL153W,	
chr8_465798_465832	34	Intergenic	YHR179W_2098,YHR181W_1391		
chr14_500349_500376	27	Intergenic	YNL067W_96,YNL066W_1135		
chr15_960997_961038	41	Coding	YOR341W		
chr15_804950_804962	12	Intergenic	YOR253W_44,YOR254C_68		
chr7_153106_153137	31	Intergenic	YGL186C_326,YGL185C_33		
